
-203.125000,-695.312500,16398.437500,-2.576,0.813,11.349 
-218.750000,-843.750000,15562.500000,-2.593,0.807,11.349 
-171.875000,-859.375000,15859.375000,-2.587,0.813,11.349 
-281.250000,-617.187500,16226.562500,-2.576,0.813,11.349 
-257.812500,-523.437500,16156.250000,-2.576,0.813,11.349 
-140.625000,-804.687500,15929.687500,-2.593,0.807,11.349 
-226.562500,-945.312500,15757.812500,-2.587,0.807,11.349 
-203.125000,-617.187500,15992.187500,-2.576,0.807,11.349 
-226.562500,-531.250000,16281.250000,-2.576,0.807,11.349 
-218.750000,-914.062500,15882.812500,-2.587,0.807,11.349 
-250.000000,-898.437500,15640.625000,-2.587,0.807,11.349 
-218.750000,-632.812500,16093.750000,-2.576,0.807,11.349 
-304.687500,-578.125000,16406.250000,-2.576,0.807,11.349 
-234.375000,-781.250000,15890.625000,-2.587,0.807,11.349 
-148.437500,-898.437500,15617.187500,-2.587,0.807,11.349 
-257.812500,-687.500000,15968.750000,-2.576,0.807,11.349 
-171.875000,-562.500000,16414.062500,-2.576,0.807,11.349 
-218.750000,-804.687500,15765.625000,-2.587,0.807,11.349 
-179.687500,-929.687500,15703.125000,-2.593,0.807,11.349 
-250.000000,-742.187500,16101.562500,-2.582,0.807,11.349 
-242.187500,-500.000000,16078.125000,-2.576,0.807,11.349 
-226.562500,-734.375000,16148.437500,-2.587,0.807,11.349 
-132.812500,-960.937500,15890.625000,-2.598,0.807,11.349 
-164.062500,-703.125000,15625.000000,-2.582,0.807,11.349 
-320.312500,-492.187500,16476.562500,-2.576,0.807,11.349 
-289.062500,-757.812500,16132.812500,-2.587,0.807,11.349 
-164.062500,-921.875000,15453.125000,-2.593,0.807,11.349 
-218.750000,-718.750000,16078.125000,-2.587,0.807,11.349 
-289.062500,-601.562500,16359.375000,-2.576,0.807,11.349 
-203.125000,-742.187500,15914.062500,-2.587,0.807,11.349 
-164.062500,-867.187500,15679.687500,-2.593,0.802,11.349 
-250.000000,-820.312500,15976.562500,-2.582,0.802,11.349 
-218.750000,-570.312500,16093.750000,-2.576,0.802,11.349 
-156.250000,-671.875000,16023.437500,-2.582,0.802,11.349 
-226.562500,-968.750000,15898.437500,-2.593,0.802,11.349 
-171.875000,-828.125000,15718.750000,-2.582,0.802,11.349 
-210.937500,-570.312500,16218.750000,-2.571,0.802,11.349 
-242.187500,-742.187500,16265.625000,-2.582,0.802,11.349 
-140.625000,-890.625000,15750.000000,-2.587,0.802,11.349 
-179.687500,-859.375000,15812.500000,-2.582,0.802,11.349 
-265.625000,-531.250000,16281.250000,-2.571,0.802,11.349 
-203.125000,-664.062500,16375.000000,-2.576,0.802,11.349 
-179.687500,-921.875000,15562.500000,-2.587,0.802,11.349 
-195.312500,-796.875000,15835.937500,-2.587,0.802,11.349 
-218.750000,-632.812500,16406.250000,-2.576,0.802,11.349 
-257.812500,-664.062500,15843.750000,-2.582,0.802,11.349 
-218.750000,-867.187500,15984.375000,-2.593,0.802,11.349 
-257.812500,-867.187500,15859.375000,-2.587,0.802,11.349 
-101.562500,-601.562500,15890.625000,-2.576,0.802,11.349 
-234.375000,-617.187500,16414.062500,-2.582,0.802,11.349 
-195.312500,-898.437500,15875.000000,-2.593,0.802,11.349 
-164.062500,-898.437500,15578.125000,-2.587,0.802,11.349 
-281.250000,-632.812500,16164.062500,-2.576,0.802,11.349 
-335.937500,-632.812500,16281.250000,-2.582,0.802,11.349 
-187.500000,-890.625000,15640.625000,-2.593,0.802,11.349 
-171.875000,-890.625000,15750.000000,-2.593,0.802,11.349 
-289.062500,-671.875000,16226.562500,-2.582,0.802,11.349 
-179.687500,-609.375000,16093.750000,-2.582,0.802,11.349 
-210.937500,-835.937500,15812.500000,-2.593,0.802,11.349 
-203.125000,-921.875000,15859.375000,-2.593,0.802,11.349 
-140.625000,-609.375000,16023.437500,-2.582,0.802,11.349 
-218.750000,-585.937500,16312.500000,-2.576,0.802,11.349 
-257.812500,-828.125000,15945.312500,-2.593,0.802,11.349 
-179.687500,-890.625000,15687.500000,-2.593,0.802,11.349 
-210.937500,-671.875000,15968.750000,-2.582,0.802,11.349 
-289.062500,-578.125000,16375.000000,-2.582,0.802,11.349 
-210.937500,-781.250000,15968.750000,-2.593,0.802,11.349 
-203.125000,-898.437500,15609.375000,-2.593,0.802,11.349 
-210.937500,-671.875000,16093.750000,-2.582,0.802,11.349 
-203.125000,-562.500000,16304.687500,-2.582,0.802,11.349 
-250.000000,-750.000000,15734.375000,-2.593,0.802,11.349 
-210.937500,-890.625000,15820.312500,-2.593,0.802,11.349 
-242.187500,-734.375000,15976.562500,-2.582,0.802,11.349 
-203.125000,-546.875000,16125.000000,-2.582,0.802,11.349 
-218.750000,-750.000000,16117.187500,-2.593,0.802,11.349 
-187.500000,-921.875000,15851.562500,-2.598,0.802,11.349 
-218.750000,-750.000000,15718.750000,-2.587,0.802,11.349 
-242.187500,-546.875000,16359.375000,-2.582,0.802,11.349 
